id;type;issue_date;last_renew_date;maturity_date;interest_rate;tax_rate;tenure;interest_tenure;amount;maturity_amount;tax;monthly_deposit;monthly_deposit_date;bank;auto_renew;renew_with_interest;status
8e3f3063-366b-4a24-81f9-caf366d025f7;BSP;2022-11-12T05:24:36;2022-11-12T04:13:42;2022-11-11T14:15:13;98609;70237;60013;82457;85022;91845;78469;10430;2022-11-11T17:13:38;hard Refined;false;false;MATURED
6694f3a1-73d6-48ec-acbf-3425b2d886d5;BSP;2022-11-11T19:25:44;2022-11-12T03:25:01;2022-11-11T20:02:48;17912;27989;87358;50568;44829;24219;95514;54883;2022-11-12T08:17:37;Prairie;false;false;ACTIVE
711af803-01c6-4420-b872-0d8349a66a42;FD;2022-11-11T19:47:27;2022-11-11T14:33:14;2022-11-11T11:19:59;18897;71162;6841;29813;36097;21539;38990;42212;2022-11-12T01:59:53;transmit America;true;false;CLOSED
85c93534-13a9-4f34-96bb-1ca9a6f9d4cf;BSP;2022-11-12T09:59:44;2022-11-11T17:09:48;2022-11-11T13:21:24;58432;57862;75937;78411;97864;24339;66717;22074;2022-11-12T09:44:00;withdrawal Salad;true;false;ACTIVE
966a35f4-7040-4611-a25e-8ac69ceff4e3;BSP;2022-11-12T02:20:49;2022-11-12T08:38:00;2022-11-11T12:48:11;70571;81769;44866;72976;48910;61266;2500;70156;2022-11-11T16:55:09;Metal Finland deliverables;false;true;MATURED
e6a185e4-0461-426d-8c58-6b1ea1c1220c;PSP;2022-11-12T07:02:46;2022-11-11T18:03:01;2022-11-11T21:02:37;76068;37635;47035;97060;41746;68836;90987;46303;2022-11-11T15:13:33;Passage;false;true;MATURED
c5e8e621-0cc9-47ce-a1d6-4bd85ebd93ef;MS3;2022-11-11T17:03:14;2022-11-12T00:46:49;2022-11-12T09:17:13;85406;27202;1647;48523;83804;41141;69486;65861;2022-11-12T07:09:36;Home;true;true;CLOSED
aed36476-2adc-4e84-86e1-e5880a33cf58;FD;2022-11-12T08:11:20;2022-11-12T01:14:56;2022-11-12T02:12:00;81468;15726;40460;70497;63864;84564;29619;22079;2022-11-11T11:05:04;Multi-channelled bypass;true;true;ACTIVE
3cefc38c-f8b9-4cf1-8ede-9a43274b643b;PSP;2022-11-11T11:29:27;2022-11-12T08:24:11;2022-11-12T05:24:39;82437;90182;5850;33457;67606;70336;57583;409;2022-11-12T06:44:51;generate HTTP;false;false;ACTIVE
d39bd5a2-99a4-430a-b795-710bd3328ec0;FD;2022-11-11T16:11:04;2022-11-11T21:20:06;2022-11-11T12:18:06;91322;93275;80517;3696;38368;64369;70356;95931;2022-11-11T16:34:29;Vision-oriented Cotton;true;false;ACTIVE
