id;date;interest_rate;tax_rate;amount;tax;verified
1;2022-11-12T04:50:09;60684;36824;53125;45187;true
2;2022-11-12T08:29:51;66976;64589;48369;29931;true
3;2022-11-11T22:52:52;36718;83238;32110;48663;false
4;2022-11-11T22:50:14;16065;60545;44163;42143;false
5;2022-11-12T10:21:21;60283;56956;71816;34448;true
6;2022-11-12T09:01:29;66100;39471;20482;47569;false
7;2022-11-12T06:17:16;6091;20636;56967;36765;true
8;2022-11-11T19:42:33;3414;65678;70717;75451;true
9;2022-11-12T06:40:11;14767;18645;4967;38960;false
10;2022-11-11T18:53:44;21000;90376;91909;22503;false
